HGNC Symbol,UniProt,IDG Family,Notes
ADGRA1,Q86SQ6,GPCR,
ADGRA2,Q96PE1,GPCR,
ADGRA3,Q8IWK6,GPCR,
ADGRB1,O14514,GPCR,
ADGRB2,O60241,GPCR,
ADGRB3,O60242,GPCR,
ADGRD1,Q6QNK2,GPCR,
ADGRD2,Q7Z7M1,GPCR,
ADGRE1,Q14246,GPCR,
ADGRE2,Q9UHX3,GPCR,
ADGRE3,Q9BY15,GPCR,
CD97,P48960,GPCR,Changed symbol from ADGRE5. Current symbol in HGNC is ADGRE5, but UniProt still has CD97.
ADGRF1,Q5T601,GPCR,
ADGRF2,Q8IZF7,GPCR,
ADGRF3,Q8IZF5,GPCR,
ADGRF4,Q8IZF3,GPCR,
ADGRF5,Q8IZF2,GPCR,
ADGRG2,Q8IZP9,GPCR,
ADGRG3,Q86Y34,GPCR,
ADGRG4,Q8IZF6,GPCR,
ADGRG5,Q8IZF4,GPCR,
ADGRG6,Q86SQ4,GPCR,
ADGRG7,Q96K78,GPCR,
ADGRL4,Q9HBW9,GPCR,
CHRM5,P08912,GPCR,
FZD10,Q9ULW2,GPCR,
GNRHR2,Q96P88,GPCR,
GPR101,Q96P66,GPCR,
GPR12,P47775,GPCR,
GPR132,Q9UNW8,GPCR,
GPR135,Q8IZ08,GPCR,
GPR137,Q96N19,GPCR,
GPR139,Q6DWJ6,GPCR,
GPR141,Q7Z602,GPCR,
GPR142,Q7Z601,GPCR,
GPR143,P51810,GPCR,
GPR146,Q96CH1,GPCR,
GPR148,Q8TDV2,GPCR,
GPR149,Q86SP6,GPCR,
GPR15,P49685,GPCR,
GPR150,Q8NGU9,GPCR,
GPR151,Q8TDV0,GPCR,
GPR152,Q8TDT2,GPCR,
GPR153,Q6NV75,GPCR,
GPR156,Q8NFN8,GPCR,
GPR157,Q5UAW9,GPCR,
GPR160,Q9UJ42,GPCR,
GPR161,Q8N6U8,GPCR,
GPR162,Q16538,GPCR,
GPR17,Q13304,GPCR,
GPR171,O14626,GPCR,
